,Mon,Tue,Wed,Thu,Fri,omega1
122,1.0,1.0,1.0,1.0,1.0,0.122
123,1.0,1.0,1.0,1.0,1.0,0.123
124,1.0,1.0,1.0,1.0,1.0,0.124
125,1.0,1.0,1.0,1.0,1.0,0.125
126,1.0,1.0,1.0,1.0,1.0,0.126
127,1.0,1.0,1.0,1.0,1.0,0.127
128,1.0,1.0,1.0,1.0,1.0,0.128
129,1.0,1.0,1.0,1.0,1.0,0.129
130,1.0,1.0,1.0,1.0,1.0,0.13
131,1.0,1.0,1.0,1.0,1.0,0.131
132,1.0,1.0,1.0,1.0,1.0,0.132
133,1.0,1.0,1.0,1.0,1.0,0.133
134,1.0,1.0,1.0,1.0,1.0,0.134
135,1.0,1.0,1.0,1.0,1.0,0.135
136,1.0,1.0,1.0,1.0,1.0,0.136
137,1.0,1.0,1.0,1.0,1.0,0.137
138,1.0,1.0,1.0,1.0,1.0,0.138
139,1.0,1.0,1.0,1.0,1.0,0.139
140,1.0,1.0,1.0,1.0,1.0,0.14
141,1.0,1.0,1.0,1.0,1.0,0.141
142,1.0,1.0,1.0,1.0,1.0,0.142
143,1.0,1.0,1.0,1.0,1.0,0.143
144,1.0,1.0,1.0,1.0,1.0,0.144
145,1.0,1.0,1.0,1.0,1.0,0.145
146,1.0,1.0,1.0,1.0,1.0,0.146
147,1.0,1.0,1.0,1.0,1.0,0.147
148,1.0,1.0,1.0,1.0,1.0,0.148
149,1.0,1.0,1.0,1.0,1.0,0.149
150,1.0,1.0,1.0,1.0,1.0,0.15
151,1.0,1.0,1.0,1.0,1.0,0.151
152,1.0,1.0,1.0,1.0,1.0,0.152
153,1.0,1.0,1.0,1.0,1.0,0.153
154,1.0,1.0,1.0,1.0,1.0,0.154
155,1.0,1.0,1.0,1.0,1.0,0.155
156,1.0,1.0,1.0,1.0,1.0,0.156
157,1.0,1.0,1.0,1.0,1.0,0.157
158,1.0,1.0,1.0,1.0,1.0,0.158
159,1.0,1.0,1.0,1.0,1.0,0.159
